CODICE NAZIONALE,CODICE CATASTALE BELFIORE aggiornato al 1/9/1999 ora non pi in uso,PROVINCIA,DENOMINAZIONE COMUNE,ANNOTAZIONE,VARIAZIONE CODICE NAZAZIONALE,VARIAZIONE CODICE CATASTALE,VARIAZIONE PROVINCIA,VARIAZIONE DENOMINAZIONE DEL COMUNE,DATA COSTITUZIONE,DATA VARIAZIONE
A001,D3AB,PD,ABANO BAGNI,ORA,A001,D3AB,PD,ABANO TERME,,
A001,D3AB,PD,ABANO TERME,,,,,,,
A002,C4AB,CO,ABBADIA,VED,A002,C4AB,CO,ABBADIA SOPRA ADDA,,
A002,C4AB,CO,ABBADIA SOPRA ADDA,AGG,A005,C4AC,CO,ABBADIA LARIANA,,
A003,A1AB,TO,ABBADIA,VED,A003,A1AB,TO,ABBADIA ALPINA,,
A003,A1AB,TO,ABBADIA ALPINA,AGG,G674,A1JK,TO,PINEROLO,,
A004,,LO,ABBADIA CERRETO,,,,,,06/03/1992,
A004,C1AB,MI,ABBADIA CERRETO,ORA,A004,,LO,ABBADIA CERRETO,,06/03/1992
A005,C4AC,CO,ABBADIA LARIANA,ORA,A005,,LC,ABBADIA LARIANA,,06/03/1992
A005,,LC,ABBADIA LARIANA,,,,,,06/03/1992,
A006,I9AB,SI,ABBADIA SAN SALVATORE,,,,,,,
A007,V1AB,CA,ABBASANTA,ORA,A007,V4AB,OR,ABBASANTA,,
A007,V4AB,OR,ABBASANTA,,,,,,,
A008,N3AB,PE,ABBATEGGIO,,,,,,,
A009,F2AB,Fiume,ABBAZIA,AGG,,,,EX-JUGOSLAVIA,,
A010,C1AC,MI,ABBIATEGRASSO,,,,,,,
A011,C9AB,VA,ABBIATEGUAZZONE,AGG,L319,C9HS,VA,TRADATE,,
A012,I8AB,PT,ABETONE,,,,,,,
A013,S1AB,PZ,ABRIOLA,,,,,,,
A014,U7AB,RG,ACATE,,,,,,,
A014,U7AB,RG,BISCARI,ORA,A014,U7AB,RG,ACATE,,
A015,R3AB,FG,ACCADIA,,,,,,,
A016,A4AB,CN,ACCEGLIO,,,,,,,
A017,S2AB,MT,ACCETTURA,,,,,,,
A018,N1AB,AQ,ACCIANO,,,,,,,
A019,M4AB,RI,ACCUMOLI,,,,,,,
A020,S1AC,PZ,ACERENZA,,,,,,,
A021,E2AB,BZ,ACERETO * AHORNACH,AGG,B570,E2AY,BZ,CAMPO TURES * SAND IN TAUFERS,,
A022,E2AC,BZ,ACERNES * TSCHERMS,ORA,A022,E2AC,BZ,CERMES * TSCHERMS,,
A022,E2AC,BZ,CERMES * TSCHERMS,,,,,,,
A023,Q5AB,SA,ACERNO,,,,,,,
A024,Q1AB,NA,ACERRA,,,,,,,
A025,U4AB,CT,ACI BONACCORSI,,,,,,,
A026,U4AC,CT,ACI CASTELLO,,,,,,,
A027,U4AD,CT,ACI CATENA,,,,,,,
A028,U4AE,CT,ACIREALE,,,,,,,
A029,U4AF,CT,ACI SANT'ANTONIO,,,,,,,
A030,C8AB,SO,ACQUA,AGG,L392,C8CX,SO,TRESIVIO,,
A031,K3AB,MC,ACQUACANINA,,,,,,,
A032,M2AB,FR,ACQUAFONDATA,,,,,,,
A033,T3AB,CS,ACQUAFORMOSA,,,,,,,
A034,C3AB,BS,ACQUAFREDDA,,,,,,,
A035,K4AB,PU,ACQUALAGNA,,,,,,,
A036,C3AC,BS,ACQUALUNGA,AGG,B035,C3BE,BS,BORGO SAN GIACOMO,,
A037,C5AB,CR,ACQUALUNGA BADONA,AGG,G219,C5FU,CR,PADERNO FASOLARO,,
A038,C3AD,BS,ACQUANEGRA,ORA,A038,C6AB,MN,ACQUANEGRA SUL CHIESE,,
A038,C6AB,MN,ACQUANEGRA SUL CHIESE,,,,,,,
A039,C5AC,CR,ACQUANEGRA,ORA,A039,C5AC,CR,ACQUANEGRA CREMONESE,,
A039,C5AC,CR,ACQUANEGRA CREMONESE,,,,,,,
A040,M5AB,VT,ACQUAPENDENTE,,,,,,,
A041,T3AC,CS,ACQUAPPESA,,,,,,,
A042,R4AB,LE,ACQUARICA DEL CAPO,,,,,,,
A043,T2AB,CZ,ACQUARO,ORA,A043,,VV,ACQUARO,,06/03/1992
A043,,VV,ACQUARO,,,,,,06/03/1992,
A044,K2AB,AP,ACQUASANTA,ORA,A044,K2AB,AP,ACQUASANTA TERME,,
A044,K2AB,AP,ACQUASANTA TERME,,,,,,,
A045,L2AB,TR,ACQUASPARTA,,,,,,,
A046,C4AD,CO,ACQUATE,AGG,E507,C4JE,CO,LECCO,,
A047,K2AC,AP,ACQUAVIVA,ORA,A047,K2AC,AP,ACQUAVIVA PICENA,,
A047,K2AC,AP,ACQUAVIVA PICENA,,,,,,,
A048,R1AB,BA,ACQUAVIVA,ORA,A048,R1AB,BA,ACQUAVIVA DELLE FONTI,,
A048,R1AB,BA,ACQUAVIVA DELLE FONTI,,,,,,,
A049,U3AB,CL,ACQUAVIVA,ORA,A049,U3AB,CL,ACQUAVIVA PLATANI,,
A049,U3AB,CL,ACQUAVIVA PLATANI,,,,,,,
A050,P1AB,CB,ACQUAVIVA COLLECROCE,,,,,,,
A051,P2AB,IS,ACQUAVIVA D'ISERNIA,,,,,,,
A052,A2AB,AL,ACQUI,ORA,A052,A2AB,AL,ACQUI TERME,,
A052,A2AB,AL,ACQUI TERME,,,,,,,
A053,T3AD,CS,ACRI,,,,,,,
A054,M2AC,FR,ACUTO,,,,,,,
A055,R1AC,BA,ADELFIA,,,,,,,
A056,U4AG,CT,ADERNO,ORA,A056,U4AG,CT,ADRANO,,
A056,U4AG,CT,ADRANO,,,,,,,
A057,C2AB,BG,ADRARA SAN MARTINO,,,,,,,
A058,C2AC,BG,ADRARA SAN ROCCO,,,,,,,
A059,D4AB,RO,ADRIA,,,,,,,
A060,C3AE,BS,ADRO,,,,,,,
A061,D6AB,VR,AFFI,,,,,,,
A062,M1AB,RM,AFFILE,,,,,,,
A063,C1AD,MI,AFFORI,AGG,F205,C1AA,MI,MILANO,,
A064,Q1AC,NA,AFRAGOLA,,,,,,,
A065,T1AB,RC,AFRICO,,,,,,,
A066,A5AB,NO,AGARO,AGG,H033,A5IP,NO,PREMIA,,
