CONTIN,SIGLA,DENOMINAZ,CODICE,DATAIST,DATASOP,CODRIF,DATAVARIAZ
1,*,ALBANIA,Z100,1/1/65,,,
1,*,ANDORRA,Z101,1/1/65,,,
1,*,AUSTRIA,Z102,1/1/65,,,
1,*,BELGIO,Z103,1/1/65,,,
1,*,BULGARIA,Z104,1/1/65,,,
1,*,CECOSLOVACCHIA,Z105,1/1/65,01/01/1993,Z155,01/01/1993
1,,CECOSLOVACCHIA,Z105,,,Z156,
1,*,CITTA' DEL VATICANO,Z106,1/1/65,,,
1,*,DANIMARCA,Z107,1/1/65,,,
1,DK,FAER OER (ISOLE),Z108,1/1/65,,,
1,*,FINLANDIA,Z109,1/1/65,,,
1,*,FRANCIA,Z110,1/1/65,,,
1,*,GERMANIA REPUBBLICA DEMOCRATICA,Z111,1/1/65,03/10/1990,Z112,03/10/1990
1,*,GERMANIA,Z112,10/3/90,,,
1,*,GERMANIA REPUBBLICA FEDERALE,Z112,1/1/65,03/10/1990,Z112,03/10/1990
1,GB,GIBILTERRA,Z113,1/1/65,,,
1,*,GRAN BRETAGNA E IRLANDA DEL NORD,Z114,1/1/65,,,
1,*,GRECIA,Z115,1/1/65,,,
1,*,IRLANDA=EIRE,Z116,1/1/65,,,
1,*,ISLANDA,Z117,1/1/65,,,
